index,filename,dimensions,format
438,6-3\bg\ex1\01_roc_r2\twn\common\texture\r2t0_a0_obi1b_d.dds,512x512,BC1_UNORM
438,7-0\bg\ex1\01_roc_r2\twn\common\texture\r2t0_a0_obi1b_d.dds,1024x1024,BC1_UNORM
439,6-3\bg\ex1\01_roc_r2\twn\common\texture\r2t0_a0_obi1c_d.dds,512x512,BC1_UNORM
439,7-0\bg\ex1\01_roc_r2\twn\common\texture\r2t0_a0_obi1c_d.dds,1024x1024,BC1_UNORM
440,6-3\bg\ex1\01_roc_r2\twn\common\texture\r2t0_a0_obi2a_d.dds,512x512,BC1_UNORM
440,7-0\bg\ex1\01_roc_r2\twn\common\texture\r2t0_a0_obi2a_d.dds,1024x1024,BC1_UNORM
441,6-3\bg\ex1\01_roc_r2\twn\common\texture\r2t0_a0_obi2a_n.dds,512x512,BC1_UNORM
441,7-0\bg\ex1\01_roc_r2\twn\common\texture\r2t0_a0_obi2a_n.dds,1024x1024,BC1_UNORM
442,6-3\bg\ex1\01_roc_r2\twn\common\texture\r2t0_a0_obi2b_d.dds,512x512,BC1_UNORM
442,7-0\bg\ex1\01_roc_r2\twn\common\texture\r2t0_a0_obi2b_d.dds,1024x1024,BC1_UNORM
443,6-3\bg\ex1\01_roc_r2\twn\common\texture\r2t0_a0_obi2c_d.dds,512x512,BC1_UNORM
443,7-0\bg\ex1\01_roc_r2\twn\common\texture\r2t0_a0_obi2c_d.dds,1024x1024,BC1_UNORM
444,6-3\bg\ex1\01_roc_r2\twn\common\texture\r2t0_a0_obi3a_d.dds,256x256,BC1_UNORM
444,7-0\bg\ex1\01_roc_r2\twn\common\texture\r2t0_a0_obi3a_d.dds,512x512,BC1_UNORM
445,6-3\bg\ex1\01_roc_r2\twn\common\texture\r2t0_a0_obi3a_n.dds,256x256,BC1_UNORM
445,7-0\bg\ex1\01_roc_r2\twn\common\texture\r2t0_a0_obi3a_n.dds,512x512,BC1_UNORM
446,6-3\bg\ex1\01_roc_r2\twn\common\texture\r2t0_a0_obi4a_d.dds,256x256,BC1_UNORM
446,7-0\bg\ex1\01_roc_r2\twn\common\texture\r2t0_a0_obi4a_d.dds,512x512,BC1_UNORM
447,6-3\bg\ex1\01_roc_r2\twn\common\texture\r2t0_a0_obi4a_n.dds,256x256,BC1_UNORM
447,7-0\bg\ex1\01_roc_r2\twn\common\texture\r2t0_a0_obi4a_n.dds,512x512,BC1_UNORM
448,6-3\bg\ex1\01_roc_r2\twn\common\texture\r2t0_a0_obi5a_d.dds,512x512,BC1_UNORM
448,7-0\bg\ex1\01_roc_r2\twn\common\texture\r2t0_a0_obi5a_d.dds,1024x1024,BC1_UNORM
449,6-3\bg\ex1\01_roc_r2\twn\common\texture\r2t0_a0_obi5a_n.dds,512x512,BC1_UNORM
449,7-0\bg\ex1\01_roc_r2\twn\common\texture\r2t0_a0_obi5a_n.dds,1024x1024,BC1_UNORM
451,6-3\bg\ex1\01_roc_r2\twn\common\texture\r2t0_a0_sin0a_d.dds,256x256,BC1_UNORM
451,7-0\bg\ex1\01_roc_r2\twn\common\texture\r2t0_a0_sin0a_d.dds,512x512,BC1_UNORM
452,6-3\bg\ex1\01_roc_r2\twn\common\texture\r2t0_a0_sin0a_n.dds,256x256,BC1_UNORM
452,7-0\bg\ex1\01_roc_r2\twn\common\texture\r2t0_a0_sin0a_n.dds,512x512,BC1_UNORM
453,6-3\bg\ex1\01_roc_r2\twn\common\texture\r2t0_a0_wod1a_d.dds,512x512,BC1_UNORM
453,7-0\bg\ex1\01_roc_r2\twn\common\texture\r2t0_a0_wod1a_d.dds,1024x1024,BC1_UNORM
454,6-3\bg\ex1\01_roc_r2\twn\common\texture\r2t0_a0_wod1a_n.dds,512x512,BC1_UNORM
