index,filename,dimensions,format
20,karts_upscales\bg\ex1\01_roc_r2\dun\r2d1\texture\r2d1_a6_dor02_n.dds,1024x1024,BC7_UNORM
21,7-0_bg_same_as_my_upscales\bg\ex1\01_roc_r2\dun\r2d1\texture\r2d1_b0_brak1_n.dds,256x256,BC1_UNORM
21,karts_upscales\bg\ex1\01_roc_r2\dun\r2d1\texture\r2d1_b0_brak1_n.dds,512x512,BC7_UNORM
22,7-0_bg_same_as_my_upscales\bg\ex1\01_roc_r2\dun\r2d1\texture\r2d1_b1_pil01_n.dds,512x512,BC1_UNORM
22,karts_upscales\bg\ex1\01_roc_r2\dun\r2d1\texture\r2d1_b1_pil01_n.dds,1024x1024,BC7_UNORM
23,7-0_bg_same_as_my_upscales\bg\ex1\01_roc_r2\dun\r2d1\texture\r2d1_d1_brak1_n.dds,256x256,BC1_UNORM
23,karts_upscales\bg\ex1\01_roc_r2\dun\r2d1\texture\r2d1_d1_brak1_n.dds,512x512,BC7_UNORM
24,7-0_bg_same_as_my_upscales\bg\ex1\01_roc_r2\dun\r2d1\texture\r2d1_d1_dusk1_n.dds,512x512,BC1_UNORM
24,karts_upscales\bg\ex1\01_roc_r2\dun\r2d1\texture\r2d1_d1_dusk1_n.dds,1024x1024,BC7_UNORM
25,7-0_bg_same_as_my_upscales\bg\ex1\01_roc_r2\dun\r2d1\texture\r2d1_d1_flor1_n.dds,512x512,BC1_UNORM
25,karts_upscales\bg\ex1\01_roc_r2\dun\r2d1\texture\r2d1_d1_flor1_n.dds,1024x1024,BC7_UNORM
26,7-0_bg_same_as_my_upscales\bg\ex1\01_roc_r2\dun\r2d1\texture\r2d1_d1_iron1_n.dds,512x512,BC1_UNORM
26,karts_upscales\bg\ex1\01_roc_r2\dun\r2d1\texture\r2d1_d1_iron1_n.dds,1024x1024,BC7_UNORM
27,7-0_bg_same_as_my_upscales\bg\ex1\01_roc_r2\dun\r2d1\texture\r2d1_d1_reli1_n.dds,1024x1024,BC1_UNORM
27,karts_upscales\bg\ex1\01_roc_r2\dun\r2d1\texture\r2d1_d1_reli1_n.dds,2048x2048,BC7_UNORM
28,7-0_bg_same_as_my_upscales\bg\ex1\01_roc_r2\dun\r2d1\texture\r2d1_d1_stbl1_n.dds,512x512,BC1_UNORM
28,karts_upscales\bg\ex1\01_roc_r2\dun\r2d1\texture\r2d1_d1_stbl1_n.dds,1024x1024,BC7_UNORM
