index,filename,dimensions,format
28,6-3_match\bgcommon\hou\common\factory\texture\fac_c0_rom0001_a2_d.dds,512x512,BC1_UNORM
28,7-0_match\bgcommon\hou\common\factory\texture\fac_c0_rom0001_a2_d.dds,512x512,BC1_UNORM
29,6-3_match\bgcommon\hou\common\factory\texture\fac_c0_rom0001_a2_n.dds,512x512,BC1_UNORM
29,7-0_match\bgcommon\hou\common\factory\texture\fac_c0_rom0001_a2_n.dds,512x512,BC1_UNORM
30,6-3_match\bgcommon\hou\common\factory\texture\fac_c0_rom0001_a3_d.dds,512x512,BC1_UNORM
30,7-0_match\bgcommon\hou\common\factory\texture\fac_c0_rom0001_a3_d.dds,512x512,BC1_UNORM
31,6-3_match\bgcommon\hou\common\factory\texture\fac_c0_rom0001_a3_n.dds,512x512,BC3_UNORM
31,7-0_match\bgcommon\hou\common\factory\texture\fac_c0_rom0001_a3_n.dds,512x512,BC7_UNORM
32,6-3_match\bgcommon\hou\common\factory\texture\fac_c0_rom0001_a4_d.dds,512x512,BC1_UNORM
32,7-0_match\bgcommon\hou\common\factory\texture\fac_c0_rom0001_a4_d.dds,512x512,BC1_UNORM
33,6-3_match\bgcommon\hou\common\factory\texture\fac_c0_rom0001_a4_n.dds,512x512,BC3_UNORM
33,7-0_match\bgcommon\hou\common\factory\texture\fac_c0_rom0001_a4_n.dds,512x512,BC7_UNORM
34,6-3_match\bgcommon\hou\common\factory\texture\fac_c0_rom0001_a5_d.dds,256x256,BC1_UNORM
34,7-0_match\bgcommon\hou\common\factory\texture\fac_c0_rom0001_a5_d.dds,256x256,BC7_UNORM
35,6-3_match\bgcommon\hou\common\factory\texture\fac_c0_rom0001_a5_n.dds,256x256,BC1_UNORM
35,7-0_match\bgcommon\hou\common\factory\texture\fac_c0_rom0001_a5_n.dds,256x256,BC1_UNORM
36,6-3_match\bgcommon\hou\common\factory\texture\fac_c0_rom0001_a6_d.dds,512x512,BC1_UNORM
36,7-0_match\bgcommon\hou\common\factory\texture\fac_c0_rom0001_a6_d.dds,512x512,BC1_UNORM
37,6-3_match\bgcommon\hou\common\factory\texture\fac_c0_rom0001_a6_n.dds,512x512,BC3_UNORM
37,7-0_match\bgcommon\hou\common\factory\texture\fac_c0_rom0001_a6_n.dds,512x512,BC7_UNORM
38,6-3_match\bgcommon\hou\common\factory\texture\fac_c0_rom0001_a7_d.dds,512x512,BC1_UNORM
38,7-0_match\bgcommon\hou\common\factory\texture\fac_c0_rom0001_a7_d.dds,512x512,BC1_UNORM
39,6-3_match\bgcommon\hou\common\factory\texture\fac_c0_rom0001_a7_n.dds,512x512,BC3_UNORM
39,7-0_match\bgcommon\hou\common\factory\texture\fac_c0_rom0001_a7_n.dds,512x512,BC7_UNORM
40,6-3_match\bgcommon\hou\common\factory\texture\fac_c0_rom0001_a8_d.dds,512x512,BC1_UNORM
40,7-0_match\bgcommon\hou\common\factory\texture\fac_c0_rom0001_a8_d.dds,512x512,BC1_UNORM
41,6-3_match\bgcommon\hou\common\factory\texture\fac_c0_rom0001_a8_n.dds,512x512,BC3_UNORM
41,7-0_match\bgcommon\hou\common\factory\texture\fac_c0_rom0001_a8_n.dds,512x512,BC7_UNORM
42,6-3_match\bgcommon\hou\common\factory\texture\fac_c0_rom0001_a9_d.dds,256x256,BC1_UNORM
42,7-0_match\bgcommon\hou\common\factory\texture\fac_c0_rom0001_a9_d.dds,256x256,BC1_UNORM
43,6-3_match\bgcommon\hou\common\general\0000\texture\com_b0_m0000_0a_d.dds,256x256,BC1_UNORM
43,7-0_match\bgcommon\hou\common\general\0000\texture\com_b0_m0000_0a_d.dds,256x256,BC1_UNORM
44,6-3_match\bgcommon\hou\common\general\0000\texture\com_b0_m0000_0a_n.dds,256x256,BC1_UNORM
44,7-0_match\bgcommon\hou\common\general\0000\texture\com_b0_m0000_0a_n.dds,256x256,BC1_UNORM
45,6-3_match\bgcommon\hou\common\general\0000\texture\com_b0_m0000_0b_d.dds,256x256,BC1_UNORM
45,7-0_match\bgcommon\hou\common\general\0000\texture\com_b0_m0000_0b_d.dds,256x256,BC1_UNORM
46,6-3_match\bgcommon\hou\common\general\0000\texture\com_b0_m0000_0b_n.dds,256x256,BC1_UNORM
46,7-0_match\bgcommon\hou\common\general\0000\texture\com_b0_m0000_0b_n.dds,256x256,BC1_UNORM
47,6-3_match\bgcommon\hou\common\general\0001\texture\com_b0_m0001_0a_d.dds,256x256,BC1_UNORM
47,7-0_match\bgcommon\hou\common\general\0001\texture\com_b0_m0001_0a_d.dds,256x256,BC1_UNORM
48,6-3_match\bgcommon\hou\common\general\0001\texture\com_b0_m0001_0a_n.dds,256x256,BC1_UNORM
48,7-0_match\bgcommon\hou\common\general\0001\texture\com_b0_m0001_0a_n.dds,256x256,BC1_UNORM
49,6-3_match\bgcommon\hou\common\general\0001\texture\com_b0_m0001_0b_d.dds,256x256,BC1_UNORM
49,7-0_match\bgcommon\hou\common\general\0001\texture\com_b0_m0001_0b_d.dds,256x256,BC1_UNORM
50,6-3_match\bgcommon\hou\common\general\0001\texture\com_b0_m0001_0b_n.dds,256x256,BC1_UNORM
50,7-0_match\bgcommon\hou\common\general\0001\texture\com_b0_m0001_0b_n.dds,256x256,BC1_UNORM
51,6-3_match\bgcommon\hou\common\general\0001\texture\com_b0_m0001_0c_d.dds,512x512,BC1_UNORM
51,7-0_match\bgcommon\hou\common\general\0001\texture\com_b0_m0001_0c_d.dds,512x512,BC1_UNORM
52,6-3_match\bgcommon\hou\common\general\0001\texture\com_b0_m0001_0c_n.dds,512x512,BC1_UNORM
52,7-0_match\bgcommon\hou\common\general\0001\texture\com_b0_m0001_0c_n.dds,512x512,BC1_UNORM
53,6-3_match\bgcommon\hou\common\general\0001\texture\com_b0_m0001_0d_d.dds,256x256,BC1_UNORM
53,7-0_match\bgcommon\hou\common\general\0001\texture\com_b0_m0001_0d_d.dds,256x256,BC1_UNORM
54,6-3_match\bgcommon\hou\common\general\0001\texture\com_b0_m0001_0d_n.dds,256x256,BC3_UNORM
54,7-0_match\bgcommon\hou\common\general\0001\texture\com_b0_m0001_0d_n.dds,256x256,BC7_UNORM
55,6-3_match\bgcommon\hou\common\general\0001\texture\com_b0_m0001_0e_d.dds,32x32,BC1_UNORM
55,7-0_match\bgcommon\hou\common\general\0001\texture\com_b0_m0001_0e_d.dds,32x32,BC1_UNORM
56,6-3_match\bgcommon\hou\common\general\0002\texture\com_b0_m0002_0a_d.dds,512x512,BC1_UNORM
56,7-0_match\bgcommon\hou\common\general\0002\texture\com_b0_m0002_0a_d.dds,512x512,BC1_UNORM
