Group ID,Filename,Folder,Size (KB),Dimensions,Match %
17,v01_c0801e0010_met_s.png,C:\Users\kartoffels\PycharmProjects\kartoffels-terrible-image-tools\7-0_RGB\7-0_s\equipment\e0010\texture,63,256 x 256,98

17,v01_c0101e0010_met_s.png,C:\Users\kartoffels\PycharmProjects\kartoffels-terrible-image-tools\7-0_RGB\7-0_s\equipment\e0010\texture,63,256 x 256,99

17,v02_c0801e0010_met_s.png,C:\Users\kartoffels\PycharmProjects\kartoffels-terrible-image-tools\7-0_RGB\7-0_s\equipment\e0010\texture,62,256 x 256,98

17,v02_c0101e0010_met_s.png,C:\Users\kartoffels\PycharmProjects\kartoffels-terrible-image-tools\7-0_RGB\7-0_s\equipment\e0010\texture,62,256 x 256,99

18,v01_c0101e0164_met_m.png,C:\Users\kartoffels\PycharmProjects\kartoffels-terrible-image-tools\6-3_RGB\6-3_m\equipment\e0164\texture,50,256 x 256,98

18,v01_c0101e0164_met_m.png,C:\Users\kartoffels\PycharmProjects\kartoffels-terrible-image-tools\7-0_RGB\7-0_m\equipment\e0164\texture,50,256 x 256,98

19,v01_c0101e0170_met_m.png,C:\Users\kartoffels\PycharmProjects\kartoffels-terrible-image-tools\7-0_RGB\7-0_m\equipment\e0170\texture,63,256 x 256,98

19,v01_c0701e0170_met_m.png,C:\Users\kartoffels\PycharmProjects\kartoffels-terrible-image-tools\7-0_RGB\7-0_m\equipment\e0170\texture,63,256 x 256,98

20,v01_c0101e0202_met_m.png,C:\Users\kartoffels\PycharmProjects\kartoffels-terrible-image-tools\6-3_RGB\6-3_m\equipment\e0202\texture,25,256 x 256,98

20,v01_c0101e0202_met_m.png,C:\Users\kartoffels\PycharmProjects\kartoffels-terrible-image-tools\7-0_RGB\7-0_m\equipment\e0202\texture,25,256 x 256,98

21,v01_c0101e0330_glv_m.png,C:\Users\kartoffels\PycharmProjects\kartoffels-terrible-image-tools\6-3_RGB\6-3_m\equipment\e0330\texture,43,256 x 256,98

21,v01_c0101e0330_glv_m.png,C:\Users\kartoffels\PycharmProjects\kartoffels-terrible-image-tools\7-0_RGB\7-0_m\equipment\e0330\texture,53,256 x 256,98

22,v01_c0101e0359_met_m.png,C:\Users\kartoffels\PycharmProjects\kartoffels-terrible-image-tools\6-3_RGB\6-3_m\equipment\e0359\texture,30,256 x 256,98

22,v01_c0101e0359_met_m.png,C:\Users\kartoffels\PycharmProjects\kartoffels-terrible-image-tools\7-0_RGB\7-0_m\equipment\e0359\texture,26,256 x 256,98

23,v01_c0101e0362_dwn_m.png,C:\Users\kartoffels\PycharmProjects\kartoffels-terrible-image-tools\6-3_RGB\6-3_m\equipment\e0362\texture,48,256 x 256,98

23,v01_c0101e0362_dwn_m.png,C:\Users\kartoffels\PycharmProjects\kartoffels-terrible-image-tools\7-0_RGB\7-0_m\equipment\e0362\texture,48,256 x 256,98

24,v01_c0101e0363_dwn_m.png,C:\Users\kartoffels\PycharmProjects\kartoffels-terrible-image-tools\6-3_RGB\6-3_m\equipment\e0363\texture,48,256 x 256,98

24,v01_c0101e0363_dwn_m.png,C:\Users\kartoffels\PycharmProjects\kartoffels-terrible-image-tools\7-0_RGB\7-0_m\equipment\e0363\texture,48,256 x 256,98

25,v01_c0101e0363_sho_m.png,C:\Users\kartoffels\PycharmProjects\kartoffels-terrible-image-tools\6-3_RGB\6-3_m\equipment\e0363\texture,45,256 x 256,98

25,v01_c0101e0362_sho_m.png,C:\Users\kartoffels\PycharmProjects\kartoffels-terrible-image-tools\7-0_RGB\7-0_m\equipment\e0362\texture,45,256 x 256,98

25,v01_c0101e0363_sho_m.png,C:\Users\kartoffels\PycharmProjects\kartoffels-terrible-image-tools\7-0_RGB\7-0_m\equipment\e0363\texture,45,256 x 256,98

26,v01_c0101e0430_top_m.png,C:\Users\kartoffels\PycharmProjects\kartoffels-terrible-image-tools\6-3_RGB\6-3_m\equipment\e0430\texture,120,256 x 512,98

26,v01_c0101e0430_top_m.png,C:\Users\kartoffels\PycharmProjects\kartoffels-terrible-image-tools\7-0_RGB\7-0_m\equipment\e0430\texture,122,256 x 512,98

27,v01_c0101e0471_top_m.png,C:\Users\kartoffels\PycharmProjects\kartoffels-terrible-image-tools\6-3_RGB\6-3_m\equipment\e0471\texture,95,256 x 512,98

27,v01_c0101e0471_top_m.png,C:\Users\kartoffels\PycharmProjects\kartoffels-terrible-image-tools\7-0_RGB\7-0_m\equipment\e0471\texture,114,256 x 512,98

28,v01_c0101e0472_top_m.png,C:\Users\kartoffels\PycharmProjects\kartoffels-terrible-image-tools\6-3_RGB\6-3_m\equipment\e0472\texture,97,256 x 512,98

28,v01_c0101e0472_top_m.png,C:\Users\kartoffels\PycharmProjects\kartoffels-terrible-image-tools\7-0_RGB\7-0_m\equipment\e0472\texture,117,256 x 512,98

29,v01_c0101e0529_dwn_m.png,C:\Users\kartoffels\PycharmProjects\kartoffels-terrible-image-tools\6-3_RGB\6-3_m\equipment\e0529\texture,45,256 x 256,98

29,v01_c0101e0529_dwn_m.png,C:\Users\kartoffels\PycharmProjects\kartoffels-terrible-image-tools\7-0_RGB\7-0_m\equipment\e0529\texture,46,256 x 256,98

30,v01_c0101e0532_glv_m.png,C:\Users\kartoffels\PycharmProjects\kartoffels-terrible-image-tools\6-3_RGB\6-3_m\equipment\e0532\texture,32,256 x 256,98

30,v01_c0101e0532_glv_m.png,C:\Users\kartoffels\PycharmProjects\kartoffels-terrible-image-tools\7-0_RGB\7-0_m\equipment\e0532\texture,40,256 x 256,98

31,v01_c0101e0546_dwn_m.png,C:\Users\kartoffels\PycharmProjects\kartoffels-terrible-image-tools\6-3_RGB\6-3_m\equipment\e0546\texture,27,256 x 256,98

31,v01_c0101e0546_dwn_m.png,C:\Users\kartoffels\PycharmProjects\kartoffels-terrible-image-tools\7-0_RGB\7-0_m\equipment\e0546\texture,31,256 x 256,98

32,v01_c0101e0550_glv_m.png,C:\Users\kartoffels\PycharmProjects\kartoffels-terrible-image-tools\6-3_RGB\6-3_m\equipment\e0550\texture,39,256 x 256,98

32,v01_c0101e0550_glv_m.png,C:\Users\kartoffels\PycharmProjects\kartoffels-terrible-image-tools\7-0_RGB\7-0_m\equipment\e0550\texture,47,256 x 256,98

33,v01_c0101e0551_met_m.png,C:\Users\kartoffels\PycharmProjects\kartoffels-terrible-image-tools\6-3_RGB\6-3_m\equipment\e0551\texture,33,256 x 256,98

33,v01_c0101e0551_met_m.png,C:\Users\kartoffels\PycharmProjects\kartoffels-terrible-image-tools\7-0_RGB\7-0_m\equipment\e0551\texture,40,256 x 256,98

34,v01_c0101e0554_dwn_m.png,C:\Users\kartoffels\PycharmProjects\kartoffels-terrible-image-tools\6-3_RGB\6-3_m\equipment\e0554\texture,114,512 x 512,98

34,v01_c0101e0554_dwn_m.png,C:\Users\kartoffels\PycharmProjects\kartoffels-terrible-image-tools\7-0_RGB\7-0_m\equipment\e0554\texture,130,512 x 512,98

35,v01_c0101e0556_dwn_m.png,C:\Users\kartoffels\PycharmProjects\kartoffels-terrible-image-tools\6-3_RGB\6-3_m\equipment\e0556\texture,53,256 x 256,98

35,v01_c0101e0556_dwn_m.png,C:\Users\kartoffels\PycharmProjects\kartoffels-terrible-image-tools\7-0_RGB\7-0_m\equipment\e0556\texture,53,256 x 256,98

36,v01_c0101e0556_sho_m.png,C:\Users\kartoffels\PycharmProjects\kartoffels-terrible-image-tools\6-3_RGB\6-3_m\equipment\e0556\texture,43,256 x 256,98

36,v01_c0101e0556_sho_m.png,C:\Users\kartoffels\PycharmProjects\kartoffels-terrible-image-tools\7-0_RGB\7-0_m\equipment\e0556\texture,42,256 x 256,98

37,v01_c0101e0558_glv_m.png,C:\Users\kartoffels\PycharmProjects\kartoffels-terrible-image-tools\6-3_RGB\6-3_m\equipment\e0558\texture,54,256 x 256,98

37,v01_c0101e0558_glv_m.png,C:\Users\kartoffels\PycharmProjects\kartoffels-terrible-image-tools\7-0_RGB\7-0_m\equipment\e0558\texture,55,256 x 256,98

38,v01_c0101e0613_sho_m.png,C:\Users\kartoffels\PycharmProjects\kartoffels-terrible-image-tools\6-3_RGB\6-3_m\equipment\e0613\texture,45,256 x 256,98

38,v01_c0101e0613_sho_m.png,C:\Users\kartoffels\PycharmProjects\kartoffels-terrible-image-tools\7-0_RGB\7-0_m\equipment\e0613\texture,54,256 x 256,98

39,v01_c0101e0615_glv_m.png,C:\Users\kartoffels\PycharmProjects\kartoffels-terrible-image-tools\6-3_RGB\6-3_m\equipment\e0615\texture,23,256 x 128,98

39,v01_c0101e0615_glv_m.png,C:\Users\kartoffels\PycharmProjects\kartoffels-terrible-image-tools\7-0_RGB\7-0_m\equipment\e0615\texture,23,256 x 128,98

