filename,dimensions,format
7-0_dim_same_type_difference\bgcommon\hou\craft\bil\02\0001\texture\dor_t4_m0001_0a_d.dds,512x512,BC7_UNORM
7-0_dim_same_type_difference\bgcommon\hou\craft\bil\02\0003\texture\dor_t4_m0003_0a_d.dds,512x512,BC7_UNORM
7-0_dim_same_type_difference\bgcommon\hou\craft\bil\02\0005\texture\dor_t4_m0005_0a_d.dds,512x512,BC7_UNORM
7-0_dim_same_type_difference\bgcommon\hou\craft\bil\02\0011\texture\dor_t4_m0011_0b_d.dds,128x128,BC7_UNORM
7-0_dim_same_type_difference\bgcommon\hou\craft\bil\02\0014\texture\dor_t4_m0014_0a_d.dds,128x256,BC7_UNORM
7-0_dim_same_type_difference\bgcommon\hou\craft\bil\03\0003\texture\wid_t4_m0003_0a_d.dds,256x256,BC7_UNORM
7-0_dim_same_type_difference\bgcommon\hou\craft\bil\03\0003\texture\_wid_t4_m0003_1a_d.dds,256x128,BC7_UNORM
7-0_dim_same_type_difference\bgcommon\hou\craft\bil\03\0005\texture\wid_t4_m0005_0a_d.dds,256x256,BC7_UNORM
7-0_dim_same_type_difference\bgcommon\hou\craft\bil\03\0011\texture\win_t4_m0011_0a_d.dds,256x256,BC7_UNORM
7-0_dim_same_type_difference\bgcommon\hou\craft\bil\04\0002\texture\fnc_t4_m0002_0a_d.dds,512x512,BC7_UNORM
7-0_dim_same_type_difference\bgcommon\hou\craft\bil\04\0002\texture\fnc_t4_m0002_0b_d.dds,512x512,BC7_UNORM
7-0_dim_same_type_difference\bgcommon\hou\craft\bil\04\0003\texture\fnc_t4_m0003_0a_d.dds,512x512,BC7_UNORM
7-0_dim_same_type_difference\bgcommon\hou\craft\bil\04\0003\texture\fnc_t4_m0003_0b_d.dds,512x512,BC7_UNORM
7-0_dim_same_type_difference\bgcommon\hou\craft\bil\04\0004\texture\fnc_t4_m0004_0a_d.dds,512x512,BC7_UNORM
7-0_dim_same_type_difference\bgcommon\hou\craft\bil\04\0004\texture\fnc_t4_m0004_0b_d.dds,512x512,BC7_UNORM
7-0_dim_same_type_difference\bgcommon\hou\craft\bil\04\0005\texture\fnc_t4_m0005_0e_d.dds,128x256,BC7_UNORM
7-0_dim_same_type_difference\bgcommon\hou\craft\bil\04\0005\texture\_fnc_t4_m0005_0d_d.dds,256x256,BC7_UNORM
7-0_dim_same_type_difference\bgcommon\hou\craft\bil\04\0008\texture\fnc_t4_m0008_0b_d.dds,256x256,BC7_UNORM
7-0_dim_same_type_difference\bgcommon\hou\craft\bil\04\0010\texture\fnc_t4_m0010_0a_d.dds,512x512,BC7_UNORM
7-0_dim_same_type_difference\bgcommon\hou\craft\bil\05\0001\texture\crest_dummy_d.dds,128x128,BC1_UNORM
