index,filename,dimensions,format
46,6-3_output\bgcommon\hou\craft\air\airship\texture\air_chm_m0000_2b_d.dds,256x512,BC3_UNORM
46,7-0_output\bgcommon\hou\craft\air\airship\texture\air_chm_m0000_2b_d.dds,256x512,BC7_UNORM
47,6-3_output\bgcommon\hou\craft\air\airship\texture\air_chm_m0000_2c_d.dds,512x512,BC3_UNORM
47,7-0_output\bgcommon\hou\craft\air\airship\texture\air_chm_m0000_2c_d.dds,512x512,BC7_UNORM
48,6-3_output\bgcommon\hou\craft\air\airship\texture\air_chm_m0000_3a_d.dds,512x512,BC3_UNORM
48,7-0_output\bgcommon\hou\craft\air\airship\texture\air_chm_m0000_3a_d.dds,512x512,BC7_UNORM
57,6-3_output\bgcommon\hou\craft\bil\00\0006\texture\wlc_t4_m0006_0e_s.dds,256x256,BC3_UNORM
57,7-0_output\bgcommon\hou\craft\bil\00\0006\texture\wlc_t4_m0006_0e_s.dds,256x256,BC7_UNORM
58,6-3_output\bgcommon\hou\craft\bil\00\0008\texture\wlc_t4_m0008a_0a_s.dds,256x256,BC3_UNORM
58,7-0_output\bgcommon\hou\craft\bil\00\0008\texture\wlc_t4_m0008a_0a_s.dds,256x256,BC7_UNORM
59,6-3_output\bgcommon\hou\craft\bil\00\0008\texture\wlc_t4_m0008a_0c_s.dds,256x256,BC3_UNORM
59,7-0_output\bgcommon\hou\craft\bil\00\0008\texture\wlc_t4_m0008a_0c_s.dds,256x256,BC7_UNORM
60,6-3_output\bgcommon\hou\craft\bil\00\0008\texture\wlc_t4_m0008a_0d_s.dds,256x256,BC3_UNORM
60,7-0_output\bgcommon\hou\craft\bil\00\0008\texture\wlc_t4_m0008a_0d_s.dds,256x256,BC7_UNORM
61,6-3_output\bgcommon\hou\craft\bil\00\0008\texture\wlc_t4_m0008_0b_d.dds,512x512,BC3_UNORM
61,7-0_output\bgcommon\hou\craft\bil\00\0008\texture\wlc_t4_m0008_0b_d.dds,512x512,BC7_UNORM
62,6-3_output\bgcommon\hou\craft\bil\00\0008\texture\wlc_t4_m0008_0d_d.dds,512x512,BC3_UNORM
62,7-0_output\bgcommon\hou\craft\bil\00\0008\texture\wlc_t4_m0008_0d_d.dds,512x512,BC7_UNORM
64,6-3_output\bgcommon\hou\craft\bil\00\0010\texture\wlc_t4_m0010_0b_s.dds,256x256,BC3_UNORM
64,7-0_output\bgcommon\hou\craft\bil\00\0010\texture\wlc_t4_m0010_0b_s.dds,256x256,BC7_UNORM
66,6-3_output\bgcommon\hou\craft\bil\00\0012\texture\wlc_t4_m0012_0d_d.dds,256x256,BC3_UNORM
66,7-0_output\bgcommon\hou\craft\bil\00\0012\texture\wlc_t4_m0012_0d_d.dds,256x256,BC7_UNORM
67,6-3_output\bgcommon\hou\craft\bil\00\0012\texture\wlc_t4_m0012_1a_d.dds,256x256,BC3_UNORM
67,7-0_output\bgcommon\hou\craft\bil\00\0012\texture\wlc_t4_m0012_1a_d.dds,256x256,BC7_UNORM
69,6-3_output\bgcommon\hou\craft\bil\00\0015\texture\wlc_t4_m0015_0b_n.dds,64x64,BC3_UNORM
69,7-0_output\bgcommon\hou\craft\bil\00\0015\texture\wlc_t4_m0015_0b_n.dds,64x64,BC7_UNORM
97,6-3_output\bgcommon\hou\craft\bil\01\0005\texture\rfc_t4_m0005_0c_s.dds,128x128,BC3_UNORM
97,7-0_output\bgcommon\hou\craft\bil\01\0005\texture\rfc_t4_m0005_0c_s.dds,128x128,BC7_UNORM
100,6-3_output\bgcommon\hou\craft\bil\01\0007\texture\rfc_t4_m0007_0d_s.dds,256x256,BC3_UNORM
100,7-0_output\bgcommon\hou\craft\bil\01\0007\texture\rfc_t4_m0007_0d_s.dds,256x256,BC7_UNORM
102,6-3_output\bgcommon\hou\craft\bil\01\0008\texture\rfc_t4_m0008_0b_s.dds,256x256,BC3_UNORM
102,7-0_output\bgcommon\hou\craft\bil\01\0008\texture\rfc_t4_m0008_0b_s.dds,256x256,BC7_UNORM
106,6-3_output\bgcommon\hou\craft\bil\01\0009\texture\rfc_t4_m0009_0d_s.dds,256x256,BC3_UNORM
106,7-0_output\bgcommon\hou\craft\bil\01\0009\texture\rfc_t4_m0009_0d_s.dds,256x256,BC7_UNORM
108,6-3_output\bgcommon\hou\craft\bil\01\0010\texture\rfc_t4_m0010_0e_d.dds,512x64,BC3_UNORM
108,7-0_output\bgcommon\hou\craft\bil\01\0010\texture\rfc_t4_m0010_0e_d.dds,512x64,BC7_UNORM
110,6-3_output\bgcommon\hou\craft\bil\01\0011\texture\rfc_t4_m0001_0c_s.dds,128x128,BC3_UNORM
