index,filename,dimensions,format
29,7-0_output\bgcommon\hou\common\mantion\texture\man_c0_com0006_0a_n.dds,256x256,BC7_UNORM
30,6-3_output\bgcommon\hou\common\mantion\texture\man_c0_com0007_0b_d.dds,256x256,BC1_UNORM
30,7-0_output\bgcommon\hou\common\mantion\texture\man_c0_com0007_0b_d.dds,256x256,BC7_UNORM
31,6-3_output\bgcommon\hou\common\mantion\texture\man_c0_kdan1a_d.dds,256x256,BC1_UNORM
31,7-0_output\bgcommon\hou\common\mantion\texture\man_c0_kdan1a_d.dds,256x256,BC7_UNORM
32,6-3_output\bgcommon\hou\common\mantion\texture\man_c0_plan1b_d.dds,256x256,BC1_UNORM
32,7-0_output\bgcommon\hou\common\mantion\texture\man_c0_plan1b_d.dds,256x256,BC7_UNORM
33,6-3_output\bgcommon\hou\common\mantion\texture\_n_wave_000.dds,512x512,BC3_UNORM
33,7-0_output\bgcommon\hou\common\mantion\texture\_n_wave_000.dds,512x512,BC7_UNORM
34,6-3_output\bgcommon\hou\craft\aet\aetheryte\texture\aet_000_m0000_3a_n.dds,512x512,BC3_UNORM
34,7-0_output\bgcommon\hou\craft\aet\aetheryte\texture\aet_000_m0000_3a_n.dds,512x512,BC7_UNORM
35,6-3_output\bgcommon\hou\craft\air\00\0003\texture\bds_t4_m0003_0a_s.dds,512x512,BC3_UNORM
35,7-0_output\bgcommon\hou\craft\air\00\0003\texture\bds_t4_m0003_0a_s.dds,512x512,BC7_UNORM
36,6-3_output\bgcommon\hou\craft\air\01\0007\texture\bls_t4_m0007_0a_d.dds,1024x1024,BC3_UNORM
36,7-0_output\bgcommon\hou\craft\air\01\0007\texture\bls_t4_m0007_0a_d.dds,1024x1024,BC7_UNORM
37,6-3_output\bgcommon\hou\craft\air\01\0007\texture\bls_t4_m0007_0a_s.dds,1024x1024,BC3_UNORM
37,7-0_output\bgcommon\hou\craft\air\01\0007\texture\bls_t4_m0007_0a_s.dds,1024x1024,BC7_UNORM
