index,filename,dimensions,format
30,7-0_output\bg\ex1\01_roc_r2\dun\r2d1\texture\r2d1_a4_flag1_d.dds,1024x512,BC7_UNORM
31,6-3_output\bg\ex1\01_roc_r2\dun\r2d1\texture\r2d1_a4_flag1_s.dds,512x256,BC3_UNORM
31,7-0_output\bg\ex1\01_roc_r2\dun\r2d1\texture\r2d1_a4_flag1_s.dds,512x256,BC7_UNORM
32,6-3_output\bg\ex1\01_roc_r2\dun\r2d1\texture\r2d1_a4_weap1_n.dds,1024x512,BC3_UNORM
32,7-0_output\bg\ex1\01_roc_r2\dun\r2d1\texture\r2d1_a4_weap1_n.dds,1024x512,BC7_UNORM
33,6-3_output\bg\ex1\01_roc_r2\dun\r2d1\texture\r2d1_a5_can01_s.dds,512x256,BC3_UNORM
33,7-0_output\bg\ex1\01_roc_r2\dun\r2d1\texture\r2d1_a5_can01_s.dds,512x256,BC7_UNORM
34,6-3_output\bg\ex1\01_roc_r2\dun\r2d1\texture\r2d1_d1_dusk1_s.dds,512x512,BC3_UNORM
34,7-0_output\bg\ex1\01_roc_r2\dun\r2d1\texture\r2d1_d1_dusk1_s.dds,512x512,BC7_UNORM
36,6-3_output\bg\ex1\01_roc_r2\dun\r2d1\texture\r2d1_t1_flor1_n.dds,512x512,BC3_UNORM
36,7-0_output\bg\ex1\01_roc_r2\dun\r2d1\texture\r2d1_t1_flor1_n.dds,512x512,BC7_UNORM
37,6-3_output\bg\ex1\01_roc_r2\dun\r2d1\texture\r2d1_t1_flor1_s.dds,512x512,BC3_UNORM
37,7-0_output\bg\ex1\01_roc_r2\dun\r2d1\texture\r2d1_t1_flor1_s.dds,512x512,BC7_UNORM
38,6-3_output\bg\ex1\01_roc_r2\dun\r2d1\texture\r2d1_t1_grd05_n.dds,512x512,BC3_UNORM
38,7-0_output\bg\ex1\01_roc_r2\dun\r2d1\texture\r2d1_t1_grd05_n.dds,512x512,BC7_UNORM
39,6-3_output\bg\ex1\01_roc_r2\dun\r2d1\texture\r2d1_t1_grd06_n.dds,512x512,BC3_UNORM
39,7-0_output\bg\ex1\01_roc_r2\dun\r2d1\texture\r2d1_t1_grd06_n.dds,512x512,BC7_UNORM
40,6-3_output\bg\ex1\01_roc_r2\dun\r2d1\texture\r2d1_t1_stn01_n.dds,512x512,BC3_UNORM
40,7-0_output\bg\ex1\01_roc_r2\dun\r2d1\texture\r2d1_t1_stn01_n.dds,512x512,BC7_UNORM
41,6-3_output\bg\ex1\01_roc_r2\dun\r2d1\texture\_r2d1_a3_cha01_d.dds,512x128,BC1_UNORM
41,7-0_output\bg\ex1\01_roc_r2\dun\r2d1\texture\_r2d1_a3_cha01_d.dds,512x128,BC7_UNORM
43,6-3_output\bg\ex1\01_roc_r2\dun\r2d2\texture\r2d2_a0_tre01_d.dds,256x512,BC1_UNORM
43,7-0_output\bg\ex1\01_roc_r2\dun\r2d2\texture\r2d2_a0_tre01_d.dds,256x512,BC7_UNORM
44,6-3_output\bg\ex1\01_roc_r2\dun\r2d2\texture\r2d2_a1_clt02_d.dds,512x1024,BC1_UNORM
44,7-0_output\bg\ex1\01_roc_r2\dun\r2d2\texture\r2d2_a1_clt02_d.dds,512x1024,BC7_UNORM
45,6-3_output\bg\ex1\01_roc_r2\dun\r2d2\texture\r2d2_a1_g0003_s.dds,1024x1024,BC3_UNORM
45,7-0_output\bg\ex1\01_roc_r2\dun\r2d2\texture\r2d2_a1_g0003_s.dds,1024x1024,BC7_UNORM
46,6-3_output\bg\ex1\01_roc_r2\dun\r2d2\texture\r2d2_a2_g0003_s.dds,512x512,BC3_UNORM
46,7-0_output\bg\ex1\01_roc_r2\dun\r2d2\texture\r2d2_a2_g0003_s.dds,512x512,BC7_UNORM
47,6-3_output\bg\ex1\01_roc_r2\dun\r2d2\texture\r2d2_a3_g0002_s.dds,1024x1024,BC3_UNORM
47,7-0_output\bg\ex1\01_roc_r2\dun\r2d2\texture\r2d2_a3_g0002_s.dds,1024x1024,BC7_UNORM
49,6-3_output\bg\ex1\01_roc_r2\dun\r2d2\texture\_r2d2_a1_grs02_d.dds,1024x1024,BC1_UNORM
49,7-0_output\bg\ex1\01_roc_r2\dun\r2d2\texture\_r2d2_a1_grs02_d.dds,1024x1024,BC7_UNORM
50,6-3_output\bg\ex1\01_roc_r2\dun\r2d3\texture\r2d3_a0_g0003_d.dds,1024x1024,BC1_UNORM
50,7-0_output\bg\ex1\01_roc_r2\dun\r2d3\texture\r2d3_a0_g0003_d.dds,1024x1024,BC7_UNORM
51,6-3_output\bg\ex1\01_roc_r2\dun\r2d3\texture\r2d3_a0_g0003_s.dds,1024x1024,BC3_UNORM
51,7-0_output\bg\ex1\01_roc_r2\dun\r2d3\texture\r2d3_a0_g0003_s.dds,1024x1024,BC7_UNORM
52,6-3_output\bg\ex1\01_roc_r2\dun\r2d3\texture\r2d3_a0_plt02_n.dds,256x512,BC3_UNORM
52,7-0_output\bg\ex1\01_roc_r2\dun\r2d3\texture\r2d3_a0_plt02_n.dds,256x512,BC7_UNORM
53,6-3_output\bg\ex1\01_roc_r2\dun\r2d3\texture\r2d3_a0_plt03_d.dds,128x256,BC3_UNORM
53,7-0_output\bg\ex1\01_roc_r2\dun\r2d3\texture\r2d3_a0_plt03_d.dds,128x256,BC7_UNORM
54,6-3_output\bg\ex1\01_roc_r2\dun\r2d3\texture\r2d3_a0_plt03_s.dds,128x256,BC3_UNORM
54,7-0_output\bg\ex1\01_roc_r2\dun\r2d3\texture\r2d3_a0_plt03_s.dds,128x256,BC1_UNORM
55,6-3_output\bg\ex1\01_roc_r2\dun\r2d3\texture\r2d3_v1_net01_d.dds,256x256,BC1_UNORM
55,7-0_output\bg\ex1\01_roc_r2\dun\r2d3\texture\r2d3_v1_net01_d.dds,256x256,BC7_UNORM
